Rule Name,GUID,Description
CompatScanOnly,FFDAFD37-DB75-498A-A893-472D49A1311D,"This rule indicates that setup.exe was called with a specific command line parameter that indicated setup was to do a compatibility scan only, not an upgrade."
PlugInComplianceBlock,D912150B-1302-4860-91B5-527907D08960,Detects all compatibility blocks from Server compliance plug-ins. This rule is for server upgrades only. It outputs the compliance block and remediation required.
BitLockerHardblock,C30152E2-938E-44B8-915B-D1181BA635AE,"This block is an upgrade block when the target OS doesn't support BitLocker, yet the host OS has BitLocker enabled."
VHDHardblock,D9ED1B82-4ED8-4DFD-8EC0-BE69048978CC,This block happens when the host OS is booted to a VHD image. Upgrade isn't supported when the host OS is booted from a VHD image.
PortableWorkspaceHardblock,5B0D3AB4-212A-4CE4-BDB9-37CA404BB280,This block indicates that the host OS is booted from a Windows To-Go device (USB key). Upgrade isn't supported in the Windows To-Go environment.
AuditModeHardblock,A03BD71B-487B-4ACA-83A0-735B0F3F1A90,"This block indicates that the host OS is currently booted into Audit Mode, a special mode for modifying the Windows state. Upgrade isn't supported from this state."
SafeModeHardblock,404D9523-B7A8-4203-90AF-5FBB05B6579B,"This block indicates that the host OS is booted to Safe Mode, where upgrade isn't supported."
InsufficientSystemPartitionDiskSpaceHardblock,3789FBF8-E177-437D-B1E3-D38B4C4269D1,This block is encountered when setup determines the system partition doesn't have enough space to be serviced with the newer boot files required during the upgrade process. The system partition is where the boot loader files are stored
CompatBlockedApplicationAutoUninstall,BEBA5BC6-6150-413E-8ACE-5E1EC8D34DD5,This rule indicates there's an application that needs to be uninstalled before setup can continue.
CompatBlockedApplicationDismissable,EA52620B-E6A0-4BBC-882E-0686605736D9,"When setup is run in /quiet mode, there are dismissible application messages that turn into blocks unless the command line also specifies /compat ignorewarning. This rule indicates setup was executed in /quiet mode but there's an application dismissible block message that prevented setup from continuing."
CompatBlockedFODDismissable,7B693C42-793E-4E9E-A10B-ED0F33D45E2A,"When setup is run in /quiet mode, there are dismissible Feature On Demand messages that turn into blocks unless the command line also specifies /compat ignorewarning. This rule indicates setup was executed in /quiet mode but there's a Feature On Demand dismissible block message that prevented setup from continuing, usually that the target OS image is missing a Feature On Demand that is installed in the current OS. Removal of the Feature On Demand in the current OS should also resolve the issue."
CompatBlockedApplicationManualUninstall,9E912E5F-25A5-4FC0-BEC1-CA0EA5432FF4,"This rule indicates that an application without an Add/Remove Programs entry, is present on the system and blocking setup from continuing. This block typically requires manual removal of the files associated with this application to continue."
GenericCompatBlock,511B9D95-C945-4F9B-BD63-98F1465E1CF6,"The rule indicates that system doesn't meet a hardware requirement for running Windows. For example, the device is missing a requirement for TPM 2.0. This issue can occur even when an attempt is made to bypass the hardware requirements."
